Client,Received,Stream Tag,Cuid,Sch_Code,AnalyteCode,Result,AnaUnitCode,AnalyteStatus,LFL,LWL,ExpectedValue,UWL,UFL,Exported
AMIS0463,,,,,,,,,,,,,,
WS_SMR,7/18/2023 19:29,AMIS0463,8909532,ICP_CBM_B,CU,8.21,%,CPL,7.98,8.064110032,8.21,8.064110032,8.44,7/19/2023 10:02
WS_SMR,7/18/2023 19:29,AMIS0463,8909532,ICP_CBM_B,NI,11.86,%,CPL,11.17,11.37113269,11.72,11.37113269,12.27,7/19/2023 10:02
WS_SMR,9/15/2023 11:14,AMIS0463,8918075,ICP_CBM_A,CR2O3,1.746,%,CPL,,,,,,9/26/2023 7:20
WS_SMR,9/15/2023 11:14,AMIS0463,8918075,ICP_CBM_A,CO,0.271,%,QWL,0.26,0.274627832,0.3,0.274627832,0.34,9/26/2023 7:20
WS_SMR,9/15/2023 11:14,AMIS0463,8918079,ICP_CBM_B,CO,0.291,%,CPL,0.26,0.274627832,0.3,0.274627832,0.34,9/26/2023 7:20
WS_SMR,9/15/2023 11:14,AMIS0463,8918075,ICP_CBM_A,CR,1.19,%,QWL,1.17,1.224854369,1.32,1.224854369,1.45,9/26/2023 7:20
WS_SMR,9/15/2023 11:14,AMIS0463,8918075,ICP_CBM_A,CU,7.52,%,QFL,7.98,8.064110032,8.21,8.064110032,8.44,9/26/2023 7:20
WS_SMR,9/15/2023 11:14,AMIS0463,8918075,ICP_CBM_A,FE,30.16,%,QFL,31.02,31.87572816,33.36,31.87572816,35.7,9/26/2023 7:20
WS_SMR,9/15/2023 11:14,AMIS0463,8918075,ICP_CBM_A,NI,10.84,%,QFL,11.17,11.37113269,11.72,11.37113269,12.27,9/26/2023 7:20
WS_SMR,9/15/2023 11:14,AMIS0463,8918079,ICP_CBM_B,NI,11.54,%,CPL,11.17,11.37113269,11.72,11.37113269,12.27,9/26/2023 7:20
WS_SMR,9/15/2023 11:14,AMIS0463,8918079,ICP_CBM_B,CR,1.29,%,CPL,1.17,1.224854369,1.32,1.224854369,1.45,9/26/2023 7:20
WS_SMR,10/4/2023 14:30,AMIS0463,8920842,ICP_CPGM_A,AU,12.8236,PPM,CPL,11.95,12.25718447,12.79,12.25718447,13.62,10/5/2023 14:35
WS_SMR,10/4/2023 14:30,AMIS0463,8920842,ICP_CPGM_A,IR,5.5332,PPM,CPL,5.3,5.475533981,5.78,5.475533981,6.26,10/5/2023 14:35
WS_SMR,10/4/2023 14:30,AMIS0463,8920842,ICP_CPGM_A,PD,138.9174,PPM,CPL,135.52,137.5825243,141.16,137.5825243,146.79,10/5/2023 14:35
WS_SMR,10/4/2023 14:30,AMIS0463,8920848,ICP_CPGM_B,AU,12.4978,PPM,CPL,11.95,12.25718447,12.79,12.25718447,13.62,10/5/2023 14:35
WS_SMR,10/4/2023 14:30,AMIS0463,8920848,ICP_CPGM_B,IR,6.0887,PPM,QWH,5.3,5.475533981,5.78,5.475533981,6.26,10/5/2023 14:35
